rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed,experiment,source_file
1,1024,512,1.0069359979014765,57.34378388617188,11.748027467084734,3123.2241372484714,263.6309482905751,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr1_il1024_ol512.jsonl
1,1024,512,1.0021525689196378,78.35054697003216,18.463247950814303,4893.507731854916,262.37857483169495,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr1_il1024_ol512.jsonl
1,1024,512,1.0068285876661196,80.66028781235218,11.970926512166397,3199.4916038261726,263.6028266798051,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
2,1024,512,1.9925138191777434,60.591157115995884,12.28471988820485,3265.8825311623514,521.6700055680209,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr2_il1024_ol512.jsonl
2,1024,512,1.9502882303809135,79.2961260676384,19.64546531862824,5204.545290656388,510.6147130371789,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr2_il1024_ol512.jsonl
2,1024,512,1.9918900279440843,83.89783240389079,12.451426713883745,3330.3102554380894,521.5066876661805,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
4,1024,512,3.798522793652123,61.97552132885903,13.310544973989868,3538.5749275423586,994.5102452200306,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr4_il1024_ol512.jsonl
4,1024,512,3.63057869061232,84.2199169518426,21.663735879277528,5723.747645886615,950.5399598826646,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr4_il1024_ol512.jsonl
4,1024,512,3.793215004954975,90.09143728297204,13.901687145508014,3725.336024309509,993.1205865222868,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
8,1024,512,6.736366127021552,66.89179111737758,16.16206147727354,4282.026287200861,1763.6816975461477,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr8_il1024_ol512.jsonl
