framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,fp8,3,0.3228480100631714
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,float16,7,0.34795360565185546
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,fp8,7,0.3205296039581299
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,float16,3,0.3317584037780762
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,1023,1.4488927841186523
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,float16,15,0.376198410987854
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,1023,2.8435951232910157
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,fp8,15,0.33678081035614016
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,255,0.8131808280944824
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,255,1.4984064102172852
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,127,0.4612016201019287
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,float16,31,0.5538591861724853
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,float16,63,0.9104351997375488
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,3,0.010384000092744827
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,fp8,1,0.01250080019235611
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,fp8,7,0.012383999675512314
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,15,0.01061279997229576
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,fp8,15,0.012464000284671784
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,fp8,127,0.9186991691589356
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,31,0.012454400211572647
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,63,0.01441120058298111
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,fp8,63,0.012468799948692322
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,fp8,3,0.012353599816560746
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,1,0.010414399951696397
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,float16,127,1.6111791610717774
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,fp8,31,0.38346080780029296
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,255,0.030910399556159974
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,7,0.010424000024795533
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,fp8,511,0.035006400942802426
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,511,0.06351680159568787
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,8,1,64,64,128,1,float16,float16,1023,0.22005600929260255
