framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,128,0.04996480047702789
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,192,64,0.02094080001115799
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,64,0.0290336012840271
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,192,32,0.012697599828243256
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,32,0.018783999979496
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,192,16,0.008582399785518646
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,16,0.012492799758911132
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,128,1,0.004729599878191948
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,4,0.0074143998324871065
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,8,0.01050880029797554
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,4,0.008534400165081025
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,192,2,0.004419200122356415
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,2,0.008339200168848038
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,160,32,0.01671359986066818
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,192,1,0.0042975999414920805
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,192,1,0.006415999680757523
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,256,128,0.04775039851665497
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,4,0.004470400139689445
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,256,128,0.06572160124778748
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,256,64,0.037264001369476316
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,256,32,0.015238399803638458
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,256,32,0.022838400304317476
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,256,16,0.010454399883747101
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,256,16,0.014640000462532044
